timestamp,frame_id,capture_wait_ms,slow_poll_ms,match_ms,fast_poll_ms,predict_ms,blur_ms,send_ms,detect_age_ms,fast_age_ms,mask_age_avg_ms,slow_updated,fast_updated,predicted,mask_count,jitter_center_px,jitter_corners_px,masks_created,masks_killed,loop_ms
105744.558295,1,0.008,0.036,0.001,0.007,0.004,0.007,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,7.114
105744.576653,2,0.353,0.007,0.001,0.003,0.003,0.009,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.814
105744.60494,3,0.427,0.009,0.0,0.005,0.004,0.003,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,9.983
105744.693477,4,0.302,0.009,0.001,0.005,0.003,0.005,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.816
105744.731027,5,0.402,0.008,0.001,0.006,0.003,0.005,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.749
105744.768845,6,0.287,0.008,0.001,0.005,0.003,0.004,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.161
105744.798468,7,0.283,0.011,0.001,0.006,0.004,0.004,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.603
105744.829188,8,0.426,0.027,0.001,0.012,0.009,0.003,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11.421
105744.861046,9,0.601,0.008,0.001,0.006,0.004,0.008,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.755
105744.912374,10,0.318,0.009,0.0,0.005,0.002,0.004,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11.712
105744.944178,11,0.303,0.014,0.001,0.006,0.004,0.007,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,12.621
105744.990379,12,0.494,0.017,0.001,0.006,0.076,1.205,0.003,0.0,0.0,33.43,0,0,1,7,0.0,0.0,0,0,20.392
105745.01086,13,0.405,0.015,0.001,0.145,0.003,1.972,0.005,0.0,22.82,22.82,0,1,0,7,0.0,0.0,0,0,20.219
105745.031211,14,0.423,0.009,0.0,0.004,0.034,1.098,0.002,0.0,0.0,43.17,0,0,1,7,0.0,0.0,0,0,13.885
105745.045188,15,0.402,0.009,0.001,0.084,0.002,0.787,0.004,0.0,34.98,34.98,0,1,0,7,0.0,0.0,0,0,16.891
105745.077773,16,0.274,0.011,0.0,0.004,0.037,0.734,0.031,0.0,0.0,67.56,0,0,1,7,0.0,0.0,0,0,19.248
105745.097151,17,0.619,0.019,0.001,0.118,0.003,1.514,0.004,0.0,52.33,52.33,0,1,0,7,0.0,0.0,0,0,17.225
105745.114456,18,0.485,0.015,0.001,0.159,0.004,0.505,0.003,0.0,38.44,38.44,0,1,0,7,0.0,0.0,0,0,19.23
105745.133767,19,0.425,0.005,0.001,0.004,0.029,0.93,0.005,0.0,0.0,57.75,0,0,1,7,0.0,0.0,0,0,13.323
