timestamp,frame_id,loop_ms,capture_wait_ms,slow_poll_ms,fast_poll_ms,predict_ms,blur_ms,send_ms,detect_age_ms,fast_age_ms,mask_age_avg_ms,slow_updated,fast_updated,predicted,mask_count,jitter_center_px,jitter_corners_px,masks_created,masks_killed
183937.372938,1,2.416,0.004,0.005,0.022,0.001,0.003,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.375419,1,9.587,0.003,0.002,0.005,0.0,0.003,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.385104,1,1.252,0.003,0.003,0.004,0.001,0.003,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.386425,1,8.249,0.002,0.001,0.004,0.0,0.003,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.394735,1,9.721,0.002,0.001,0.003,0.001,0.006,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.40453,1,1.043,0.003,0.002,0.003,0.001,0.005,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.405628,1,8.174,0.002,0.001,0.003,0.0,0.005,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.413903,1,7.726,0.003,0.003,0.006,0.001,0.003,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.421701,1,0.914,0.002,0.001,0.002,0.001,0.003,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.422669,1,7.87,0.002,0.001,0.002,0.0,0.003,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.430597,1,8.277,0.002,0.001,0.003,0.0,0.004,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.43893,1,0.851,0.001,0.002,0.003,0.0,0.002,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.439836,1,7.738,0.002,0.002,0.002,0.0,0.004,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.447653,1,8.257,0.003,0.001,0.004,0.001,0.003,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
183937.455975,1,0.774,0.002,0.001,0.003,0.001,0.003,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
