timestamp,frame_id,loop_ms,capture_wait_ms,slow_poll_ms,fast_poll_ms,predict_ms,blur_ms,send_ms,detect_age_ms,fast_age_ms,mask_age_avg_ms,slow_updated,fast_updated,predicted,mask_count,jitter_center_px,jitter_corners_px,masks_created,masks_killed
517844.944186,1,10.332,0.009,0.013,0.093,0.0,0.011,0.04,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517844.954925,1,12.4,0.009,0.007,0.022,0.0,0.005,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517844.967419,1,12.512,0.004,0.004,0.014,0.0,0.006,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517844.980077,2,19.731,0.481,0.007,0.027,0.001,0.009,0.013,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517844.999958,2,14.227,0.007,0.004,0.03,0.001,0.007,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.014296,3,15.231,0.356,0.009,0.032,0.001,0.01,0.021,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.029667,3,9.453,0.006,0.005,0.018,0.001,0.01,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.039249,3,15.751,0.004,0.003,0.024,0.0,0.013,0.016,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.055216,4,17.807,0.412,0.022,0.05,0.002,0.012,0.022,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.073189,4,12.195,0.006,0.005,0.019,0.001,0.007,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.085494,4,10.128,0.004,0.003,0.015,0.001,0.004,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.095838,4,15.807,0.004,0.003,0.017,0.0,0.006,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.111825,5,19.84,0.698,0.011,0.043,0.001,0.008,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.131796,5,10.918,0.005,0.004,0.021,0.001,0.016,0.034,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.143115,5,11.322,0.01,0.004,0.025,0.001,0.007,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.154563,6,17.924,0.512,0.011,0.042,0.001,0.009,0.013,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.172647,6,10.238,0.005,0.004,0.02,0.001,0.006,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.182985,6,11.221,0.004,0.002,0.013,0.001,0.007,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.194331,7,18.503,0.338,0.009,0.044,0.001,0.006,0.018,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.212957,7,12.362,0.003,0.003,0.017,0.001,0.006,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
517845.22546,7,10.975,0.005,0.006,0.025,0.001,0.004,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
