timestamp,frame_id,capture_wait_ms,slow_poll_ms,match_ms,fast_poll_ms,predict_ms,blur_ms,send_ms,detect_age_ms,fast_age_ms,mask_age_avg_ms,slow_updated,fast_updated,predicted,mask_count,loop_ms
187096.343872,1,0.044,0.072,0.001,0.02,0.067,0.01,0.013,0.0,0.0,0.0,0,0,0,0,8.387
187096.389898,2,0.305,0.015,0.001,0.005,0.015,0.005,0.004,0.0,0.0,0.0,0,0,0,0,17.106
187096.428781,3,0.362,0.014,0.001,0.006,0.02,0.005,0.002,0.0,0.0,0.0,0,0,0,0,12.793
187096.487093,4,1.053,0.039,0.001,0.009,0.022,0.01,0.004,0.0,0.0,0.0,0,0,0,0,14.841
187096.553032,5,0.511,0.012,0.001,0.006,0.02,0.006,0.003,0.0,0.0,0.0,0,0,0,0,22.116
187096.597594,6,0.483,0.034,0.001,0.008,0.029,0.014,0.006,0.0,0.0,0.0,0,0,0,0,21.178
187096.618966,7,0.573,0.017,0.003,0.007,0.022,0.01,0.005,0.0,0.0,0.0,0,0,0,0,16.828
187096.670401,8,0.327,0.024,0.001,0.009,0.025,0.009,0.002,0.0,0.0,0.0,0,0,0,0,14.033
187096.712183,9,0.364,0.018,0.001,0.008,0.024,0.004,0.003,0.0,0.0,0.0,0,0,0,0,13.011
187096.768517,10,0.653,0.013,0.001,0.003,0.012,0.008,0.005,0.0,0.0,0.0,0,0,0,0,14.829
187096.828954,11,0.345,0.016,0.001,0.007,0.017,0.007,0.003,0.0,0.0,0.0,0,0,0,0,13.437
187096.889751,12,0.427,0.014,0.001,0.008,0.015,0.006,0.003,0.0,0.0,0.0,0,0,0,0,15.053
187096.963564,13,0.435,0.032,0.001,0.01,0.024,0.009,0.007,0.0,0.0,0.0,0,0,0,0,20.031
187096.983694,14,0.443,0.022,0.001,0.01,0.03,0.006,0.003,0.0,0.0,0.0,0,0,0,0,14.433
187097.025759,15,0.529,0.013,0.001,0.005,0.014,0.011,0.007,0.0,0.0,0.0,0,0,0,0,12.662
187097.079349,16,0.48,0.043,0.002,0.011,0.048,0.004,0.002,0.0,0.0,0.0,0,0,0,0,24.212
187097.115521,17,0.374,0.049,0.002,0.021,0.05,0.005,0.003,0.0,0.0,0.0,0,0,0,0,16.717
187097.151402,18,0.515,0.008,0.001,0.003,0.035,0.007,0.004,0.0,0.0,0.0,0,0,1,0,11.657
187097.197545,19,0.496,0.009,0.0,0.005,0.043,0.007,0.003,0.0,0.0,0.0,0,0,1,0,10.413
187097.230175,20,0.422,0.015,0.001,0.007,0.061,0.008,0.003,0.0,0.0,0.0,0,0,1,0,11.099
187097.263512,21,0.49,0.014,0.001,0.006,0.052,0.017,0.012,0.0,0.0,0.0,0,0,1,0,14.517
187097.29955,22,0.286,0.012,0.0,0.006,0.045,0.014,0.003,0.0,0.0,0.0,0,0,1,0,14.639
187097.325118,23,0.482,0.016,0.0,0.005,0.037,0.009,0.003,0.0,0.0,0.0,0,0,1,0,10.948
187097.350818,24,0.351,0.02,0.001,0.01,0.068,0.007,0.003,0.0,0.0,0.0,0,0,1,0,13.381
