timestamp,capture_wait_avg,capture_wait_max,capture_wait_min,capture_wait_count,slow_poll_avg,slow_poll_max,slow_poll_min,slow_poll_count,match_avg,match_max,match_min,match_count,fast_poll_avg,fast_poll_max,fast_poll_min,fast_poll_count,predict_avg,predict_max,predict_min,predict_count,blur_avg,blur_max,blur_min,blur_count,send_avg,send_max,send_min,send_count,frames_total,masks_total_total
22:02:12,0.564,1.334,0.002,68,0.487,9.08,0.003,68,1.052,15.558,0.0,68,3.988,17.646,0.001,68,0.11,0.239,0.048,68,7.103,26.37,2.415,68,0.004,0.007,0.002,68,68,287
22:02:14,0.833,1.819,0.005,53,0.25,8.676,0.004,53,1.403,17.737,0.0,53,1.473,14.22,0.002,53,0.142,0.452,0.069,53,10.312,27.148,3.156,53,0.005,0.013,0.002,53,53,432
22:02:16,0.271,0.788,0.002,83,0.297,9.397,0.003,83,0.93,12.915,0.0,83,2.327,13.463,0.001,83,0.116,0.298,0.056,83,6.382,14.407,2.249,83,0.004,0.021,0.001,83,83,1033
22:02:18,0.248,0.63,0.002,91,0.197,8.576,0.003,91,0.704,8.826,0.0,91,0.872,12.057,0.001,91,0.122,0.389,0.06,91,6.503,16.771,2.342,91,0.005,0.093,0.002,91,91,1371
22:02:20,0.236,0.752,0.002,93,0.55,8.822,0.002,93,0.233,5.773,0.0,93,0.284,4.491,0.0,93,0.121,0.27,0.055,93,6.744,17.178,2.773,93,0.004,0.009,0.002,93,93,1581
22:02:22,0.25,0.882,0.002,89,0.308,8.561,0.002,89,0.612,8.866,0.0,89,0.585,11.208,0.001,89,0.125,0.295,0.055,89,6.772,15.467,2.825,89,0.004,0.013,0.001,89,89,1581
22:02:24,0.311,0.944,0.003,76,0.178,2.521,0.003,76,0.936,12.126,0.0,76,0.778,15.243,0.001,76,0.142,0.483,0.058,76,7.493,18.882,2.833,76,0.005,0.014,0.002,76,76,1392
