timestamp,frame_id,uid,x,y,w,h,last_x,last_y,last_w,last_h,last_ts,last_slow_ts,last_source,state,frames_matched,frames_missing,confidence,hash_history,ttl,fast_miss_count,vx,vy,vw,vh,score,score_brut,fp_penalty,transition_density,s_td,density_raw,s_dens,cc_raw,s_cc,s_hreg,row_fill,tiers_active,vproj,s_vp,s_pf,bg_score
189445.602206,43,0,1178,472,164,20,1178,472,164,20,189445.5717237,189445.5717237,slow,MaskState.CONFIRMED,1,1,0.6935,1085102592571148039|1085102592571153472,499,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
189445.632704,44,0,1178,472,164,20,1178,472,164,20,189445.5996062,189445.5717237,fast,MaskState.CONFIRMED,2,0,1.0,1085102592571148039|1085102592571153472|217020509926162412,500,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
189445.668527,45,0,1178,472,164,20,1178,472,164,20,189445.5996062,189445.5717237,fast,MaskState.CONFIRMED,2,1,1.0,1085102592571148039|1085102592571153472|217020509926162412,499,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
189445.668527,45,10,1306,440,184,48,1306,440,184,48,189445.6610735,189445.6610735,slow,MaskState.CONFIRMED,1,0,0.4936,18437471956829671171|8759947638554429,500,0,402.911,-22.384,738.67,313.375,0.4936,0.6436,0.15,0.2627,0.3764,0.3074,0.6147,4,0.5,0.9598,0.8571,3,0.0275,0.4746,0.6876,0.8159
189445.700177,46,0,1178,472,164,20,1178,472,164,20,189445.6543833,189445.5717237,fast,MaskState.CONFIRMED,3,0,1.0,1085102592571148039|1085102592571153472|217020509926162412|30593253358,500,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
189445.700177,46,10,1320,439,210,59,1306,440,184,48,189445.6610735,189445.6610735,slow,MaskState.CONFIRMED,1,1,0.4936,18437471956829671171|8759947638554429,499,0,402.911,-22.384,738.67,313.375,0.4936,0.6436,0.15,0.2627,0.3764,0.3074,0.6147,4,0.5,0.9598,0.8571,3,0.0275,0.4746,0.6876,0.8159
189445.721331,47,0,1178,472,164,20,1178,472,164,20,189445.6707032,189445.5717237,fast,MaskState.CONFIRMED,4,0,1.0,1085102592571148039|1085102592571153472|217020509926162412|30593253358|30593253350,500,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
189445.721331,47,10,1320,439,210,59,1306,440,184,48,189445.6707032,189445.6610735,fast,MaskState.CONFIRMED,2,0,1.0,18437471956829671171|8759947638554429|17802399984852283,500,0,402.911,-22.384,738.67,313.375,0.4936,0.6436,0.15,0.2627,0.3764,0.3074,0.6147,4,0.5,0.9598,0.8571,3,0.0275,0.4746,0.6876,0.8159
189445.772606,48,0,1178,472,164,20,1178,472,164,20,189445.7116451,189445.5717237,fast,MaskState.CONFIRMED,5,0,1.0,1085102592571153472|217020509926162412|30593253358|30593253350|30593253350,500,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
189445.772606,48,10,1320,439,210,59,1352,464,194,22,189445.7116451,189445.7474036,fast,MaskState.CONFIRMED,4,0,1.0,18437471956829671171|8759947638554429|17802399984852283|6948912840874748283|17802399984852283,500,0,532.838,278.003,115.834,-301.17,0.668,0.668,0.0,0.3382,0.6276,0.4779,0.9558,3,0.375,1.0,1.0,3,0.1199,0.6005,0.3248,0.9538
189445.822713,50,0,1178,472,164,20,1178,472,164,20,189445.7641128,189445.5717237,fast,MaskState.CONFIRMED,6,0,1.0,217020509926162412|30593253358|30593253350|30593253350|1130113269734,500,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
189445.822713,50,10,1320,439,210,59,1352,464,194,22,189445.7641128,189445.7474036,fast,MaskState.CONFIRMED,5,0,1.0,8759947638554429|17802399984852283|6948912840874748283|17802399984852283|5382350458261368,500,0,532.838,278.003,115.834,-301.17,0.668,0.668,0.0,0.3382,0.6276,0.4779,0.9558,3,0.375,1.0,1.0,3,0.1199,0.6005,0.3248,0.9538
189445.853833,51,0,1178,472,164,20,1178,472,164,20,189445.7641128,189445.5717237,fast,MaskState.CONFIRMED,6,1,1.0,217020509926162412|30593253358|30593253350|30593253350|1130113269734,499,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
189445.853833,51,10,1428,464,206,26,1428,464,206,26,189445.8683776,189445.8683776,slow,MaskState.CONFIRMED,6,0,0.667,17802399984852283|6948912840874748283|17802399984852283|5382350458261368|9277657534445739098,500,0,628.234,0.0,99.195,33.065,0.667,0.667,0.0,0.3006,0.5024,0.4527,0.9054,3,0.375,0.9896,1.0,3,0.0992,0.8083,0.3957,0.9214
189445.888142,52,0,1178,472,164,20,1178,472,164,20,189445.8493412,189445.5717237,fast,MaskState.CONFIRMED,7,0,1.0,30593253358|30593253350|30593253350|1130113269734|31138510822,500,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
189445.888142,52,10,1320,439,210,59,1428,464,206,26,189445.8493412,189445.8683776,fast,MaskState.CONFIRMED,7,0,1.0,6948912840874748283|17802399984852283|5382350458261368|9277657534445739098|4537818120390525,500,0,628.234,0.0,99.195,33.065,0.667,0.667,0.0,0.3006,0.5024,0.4527,0.9054,3,0.375,0.9896,1.0,3,0.0992,0.8083,0.3957,0.9214
189445.920554,53,0,1178,472,164,20,1178,472,164,20,189445.8729572,189445.5717237,fast,MaskState.CONFIRMED,8,0,1.0,30593253350|30593253350|1130113269734|31138510822|31138510822,500,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
189445.920554,53,10,1320,439,210,59,1428,464,206,26,189445.8729572,189445.8683776,fast,MaskState.CONFIRMED,8,0,1.0,17802399984852283|5382350458261368|9277657534445739098|4537818120390525|34218509797247,500,0,628.234,0.0,99.195,33.065,0.667,0.667,0.0,0.3006,0.5024,0.4527,0.9054,3,0.375,0.9896,1.0,3,0.0992,0.8083,0.3957,0.9214
189445.955305,54,0,1178,472,164,20,1178,472,164,20,189445.9064873,189445.5717237,fast,MaskState.CONFIRMED,9,0,1.0,30593253350|1130113269734|31138510822|31138510822|31138510822,500,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
189445.955305,54,10,1320,439,210,59,1428,464,206,26,189445.9064873,189445.8683776,fast,MaskState.CONFIRMED,9,0,1.0,5382350458261368|9277657534445739098|4537818120390525|34218509797247|34218509797247,500,0,628.234,0.0,99.195,33.065,0.667,0.667,0.0,0.3006,0.5024,0.4527,0.9054,3,0.375,0.9896,1.0,3,0.0992,0.8083,0.3957,0.9214
189445.991222,55,0,1178,472,164,20,1178,472,164,20,189445.9296236,189445.5717237,fast,MaskState.CONFIRMED,10,0,1.0,1130113269734|31138510822|31138510822|31138510822|3329673394150,500,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
189445.991222,55,10,1320,439,210,59,1428,464,206,26,189445.9296236,189445.8683776,fast,MaskState.CONFIRMED,10,0,1.0,9277657534445739098|4537818120390525|34218509797247|34218509797247|16626340530047,500,0,628.234,0.0,99.195,33.065,0.667,0.667,0.0,0.3006,0.5024,0.4527,0.9054,3,0.375,0.9896,1.0,3,0.0992,0.8083,0.3957,0.9214
189446.030349,57,0,1178,472,164,20,1178,472,164,20,189445.9296236,189445.5717237,fast,MaskState.CONFIRMED,10,1,1.0,1130113269734|31138510822|31138510822|31138510822|3329673394150,499,0,0.0,0.0,0.0,0.0,0.6935,0.6935,0.0,0.3799,0.7665,0.5016,0.9968,3,0.375,1.0,1.0,3,0.1124,0.6762,0.2467,0.8988
