timestamp,frame_id,loop_ms,capture_wait_ms,slow_poll_ms,fast_poll_ms,predict_ms,blur_ms,send_ms,detect_age_ms,fast_age_ms,mask_age_avg_ms,slow_updated,fast_updated,predicted,mask_count,jitter_center_px,jitter_corners_px,masks_created,masks_killed
845025.965842,1,7.173,0.006,0.012,0.018,0.013,0.008,0.025,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845025.973191,1,13.649,0.003,0.005,0.009,0.005,0.005,0.014,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845025.986923,1,12.538,0.002,0.002,0.004,0.002,0.007,0.014,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845025.999531,1,12.915,0.003,0.002,0.004,0.002,0.007,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.012527,1,1.242,0.002,0.003,0.005,0.002,0.009,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.013857,2,14.135,1.037,0.006,0.01,0.009,0.007,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.028077,2,14.543,0.002,0.002,0.003,0.002,0.011,0.016,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.042739,2,13.587,0.004,0.003,0.006,0.004,0.006,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.056424,2,10.908,0.004,0.002,0.005,0.003,0.009,0.014,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.067484,2,10.528,0.004,0.003,0.008,0.004,0.006,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.078114,2,11.951,0.003,0.003,0.005,0.004,0.006,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.090158,2,4.715,0.003,0.002,0.004,0.003,0.004,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.094947,2,13.056,0.002,0.002,0.004,0.002,0.005,0.013,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.108095,3,17.377,0.822,0.009,0.008,0.007,0.006,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.125625,3,17.916,0.008,0.006,0.015,0.006,0.01,0.014,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.14369,4,15.837,1.032,0.009,0.009,0.007,0.011,0.014,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.159696,4,11.972,0.007,0.006,0.012,0.005,0.007,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.17177,4,15.749,0.003,0.002,0.004,0.003,0.008,0.016,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.18763,4,11.775,0.003,0.002,0.007,0.004,0.006,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.199481,4,2.116,0.004,0.001,0.005,0.002,0.006,0.013,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.201731,5,14.219,1.007,0.004,0.005,0.004,0.004,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.216034,5,12.521,0.002,0.001,0.003,0.004,0.005,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.228661,5,1.274,0.003,0.002,0.006,0.005,0.005,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.230025,5,12.095,0.003,0.002,0.003,0.002,0.006,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.242214,5,10.685,0.003,0.002,0.004,0.003,0.01,0.017,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.253057,5,11.402,0.006,0.003,0.01,0.004,0.007,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.264562,5,11.957,0.003,0.003,0.004,0.003,0.01,0.017,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.276627,5,12.643,0.003,0.003,0.006,0.004,0.005,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.289342,5,16.417,0.002,0.002,0.003,0.002,0.013,0.023,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.305918,5,16.082,0.006,0.004,0.01,0.005,0.011,0.022,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.322157,5,14.498,0.005,0.004,0.008,0.005,0.011,0.018,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.336844,5,11.47,0.005,0.006,0.009,0.005,0.008,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.34841,5,18.14,0.003,0.002,0.005,0.003,0.006,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.36665,6,14.353,0.895,0.008,0.008,0.008,0.007,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.381122,6,11.87,0.003,0.003,0.008,0.003,0.011,0.016,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.393145,6,11.111,0.005,0.004,0.006,0.004,0.008,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.404373,6,11.264,0.004,0.004,0.008,0.004,0.005,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.415732,6,6.531,0.003,0.002,0.005,0.002,0.007,0.018,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.422393,6,18.502,0.004,0.004,0.008,0.003,0.009,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.441017,7,14.114,0.957,0.007,0.006,0.006,0.009,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.455264,7,10.344,0.004,0.004,0.007,0.004,0.006,0.016,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.465696,7,9.913,0.005,0.002,0.004,0.002,0.007,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.475749,7,17.238,0.007,0.003,0.01,0.003,0.01,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.493118,8,18.759,1.022,0.01,0.01,0.01,0.015,0.028,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.512055,8,12.26,0.004,0.002,0.004,0.003,0.006,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.524422,8,5.397,0.004,0.004,0.007,0.003,0.006,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.529921,8,13.369,0.004,0.003,0.006,0.003,0.004,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.543359,9,17.301,0.869,0.017,0.015,0.012,0.008,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.56077,9,12.19,0.004,0.003,0.005,0.004,0.005,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.573064,9,17.295,0.004,0.003,0.009,0.003,0.021,0.026,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.590538,10,16.148,1.121,0.006,0.005,0.005,0.01,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.606819,10,10.202,0.003,0.002,0.005,0.004,0.004,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.617139,10,12.126,0.003,0.002,0.004,0.003,0.007,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.629362,10,1.339,0.003,0.003,0.004,0.003,0.007,0.015,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.630786,10,9.1,0.002,0.002,0.004,0.002,0.004,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.63995,11,19.376,0.536,0.007,0.005,0.004,0.01,0.018,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.659427,11,1.802,0.003,0.003,0.007,0.003,0.008,0.013,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.661337,11,11.017,0.004,0.004,0.006,0.004,0.005,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.672437,11,11.949,0.003,0.002,0.005,0.003,0.011,0.02,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.68456,11,16.797,0.005,0.004,0.008,0.003,0.007,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.701496,12,15.469,0.925,0.012,0.012,0.011,0.007,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.71706,12,11.155,0.003,0.003,0.005,0.003,0.006,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.728314,12,9.656,0.004,0.002,0.006,0.002,0.005,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.73806,12,13.497,0.005,0.003,0.008,0.003,0.005,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.751623,13,14.002,0.678,0.006,0.005,0.005,0.006,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.765713,13,10.453,0.003,0.002,0.005,0.002,0.009,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.776329,13,11.335,0.005,0.004,0.01,0.004,0.006,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.787746,13,12.734,0.004,0.002,0.005,0.002,0.007,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.800609,14,18.023,1.26,0.011,0.011,0.01,0.005,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.818708,14,11.888,0.003,0.003,0.005,0.002,0.005,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
845026.830655,14,10.493,0.003,0.001,0.003,0.001,0.006,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
