timestamp,frame_id,uid,x,y,w,h,last_x,last_y,last_w,last_h,last_ts,last_slow_ts,last_source,state,frames_matched,frames_missing,confidence,hash_history,ttl,fast_miss_count,vx,vy,vw,vh,score,score_brut,fp_penalty,transition_density,s_td,density_raw,s_dens,cc_raw,s_cc,s_hreg,row_fill,tiers_active,vproj,s_vp,s_pf,bg_score
128635.784164,30,3,525,484,198,26,522,484,190,26,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,2,2,0.6989,144963474236373763|434041176480348415,498,0,46.412,13.923,125.311,0.0,0.6989,0.6989,0.15,0.411,0.87,0.4899,0.9797,3,0.375,1.0,1.0,3,0.1232,0.5679,0.5987,0.9103
128635.811422,31,2,108,454,164,52,108,454,164,52,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,11,3,0.2227,283726501646442429|283726501646442429|15060036879049033475|15060036879049033475|36028797019027711,497,0,0.0,0.0,0.0,0.0,0.2227,0.3227,0.1,0.1632,0.0449,0.3027,0.6054,6,0.75,0.0,1.0,3,0.0307,0.5065,0.4495,0.925
128635.811422,31,3,524,484,197,26,522,484,190,26,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,2,3,0.6989,144963474236373763|434041176480348415,497,0,46.412,13.923,125.311,0.0,0.6989,0.6989,0.15,0.411,0.87,0.4899,0.9797,3,0.375,1.0,1.0,3,0.1232,0.5679,0.5987,0.9103
128635.843388,32,2,108,454,164,52,108,454,164,52,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,11,4,0.2227,283726501646442429|283726501646442429|15060036879049033475|15060036879049033475|36028797019027711,496,0,0.0,0.0,0.0,0.0,0.2227,0.3227,0.1,0.1632,0.0449,0.3027,0.6054,6,0.75,0.0,1.0,3,0.0307,0.5065,0.4495,0.925
128635.843388,32,3,524,484,197,26,522,484,190,26,128635.8083363,128635.6081306,fast,MaskState.CONFIRMED,3,0,1.0,144963474236373763|434041176480348415|3235052799,500,0,46.412,13.923,125.311,0.0,0.6989,0.6989,0.15,0.411,0.87,0.4899,0.9797,3,0.375,1.0,1.0,3,0.1232,0.5679,0.5987,0.9103
128635.876162,33,2,108,454,164,52,108,454,164,52,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,11,5,0.2227,283726501646442429|283726501646442429|15060036879049033475|15060036879049033475|36028797019027711,495,0,0.0,0.0,0.0,0.0,0.2227,0.3227,0.1,0.1632,0.0449,0.3027,0.6054,6,0.75,0.0,1.0,3,0.0307,0.5065,0.4495,0.925
128635.876162,33,3,524,484,197,26,522,484,190,26,128635.8083363,128635.6081306,fast,MaskState.CONFIRMED,3,1,1.0,144963474236373763|434041176480348415|3235052799,499,0,46.412,13.923,125.311,0.0,0.6989,0.6989,0.15,0.411,0.87,0.4899,0.9797,3,0.375,1.0,1.0,3,0.1232,0.5679,0.5987,0.9103
128635.902191,34,2,108,454,164,52,108,454,164,52,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,11,6,0.2227,283726501646442429|283726501646442429|15060036879049033475|15060036879049033475|36028797019027711,494,0,0.0,0.0,0.0,0.0,0.2227,0.3227,0.1,0.1632,0.0449,0.3027,0.6054,6,0.75,0.0,1.0,3,0.0307,0.5065,0.4495,0.925
128635.902191,34,3,524,484,197,26,522,484,190,26,128635.8456328,128635.6081306,fast,MaskState.CONFIRMED,4,0,1.0,144963474236373763|434041176480348415|3235052799|13696255,500,0,46.412,13.923,125.311,0.0,0.6989,0.6989,0.15,0.411,0.87,0.4899,0.9797,3,0.375,1.0,1.0,3,0.1232,0.5679,0.5987,0.9103
128635.936586,36,2,108,454,164,52,108,454,164,52,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,11,7,0.2227,283726501646442429|283726501646442429|15060036879049033475|15060036879049033475|36028797019027711,493,0,0.0,0.0,0.0,0.0,0.2227,0.3227,0.1,0.1632,0.0449,0.3027,0.6054,6,0.75,0.0,1.0,3,0.0307,0.5065,0.4495,0.925
