timestamp,frame_id,loop_ms,capture_wait_ms,slow_poll_ms,fast_poll_ms,predict_ms,blur_ms,send_ms,detect_age_ms,fast_age_ms,mask_age_avg_ms,slow_updated,fast_updated,predicted,mask_count,jitter_center_px,jitter_corners_px,masks_created,masks_killed
516771.069399,1,10.833,0.006,0.009,0.061,0.0,0.369,0.047,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.080565,1,12.413,0.016,0.012,0.041,0.002,0.382,0.029,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.093152,2,12.929,0.394,0.005,0.024,0.001,0.299,0.031,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.106301,2,10.474,0.005,0.005,0.029,0.001,0.419,0.02,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.116911,2,8.867,0.005,0.003,0.023,0.0,0.473,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.125864,3,12.324,0.458,0.006,0.029,0.001,0.311,0.046,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.138387,3,10.737,0.005,0.004,0.02,0.001,0.242,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.149209,4,15.967,0.352,0.005,0.019,0.001,0.671,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.16527,5,16.452,0.279,0.018,0.051,0.001,0.492,0.014,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.181848,5,9.988,0.003,0.003,0.017,0.0,0.274,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.19193,6,15.273,0.445,0.017,0.037,0.001,0.45,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.207329,7,11.595,0.401,0.013,0.032,0.001,0.25,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.218994,7,11.197,0.003,0.002,0.01,0.0,2.572,0.015,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.230366,8,12.399,0.6,0.006,0.026,0.001,0.331,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.242834,8,13.203,0.003,0.001,0.008,0.0,1.328,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.256132,9,11.203,0.392,0.008,0.029,0.001,0.201,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
516771.267436,9,10.325,0.005,0.003,0.016,0.0,1.659,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
