timestamp,frame_id,capture_wait_ms,slow_poll_ms,fast_poll_ms,predict_ms,blur_ms,send_ms,detect_age_ms,fast_age_ms,mask_age_avg_ms,slow_updated,fast_updated,predicted,mask_count,jitter_center_px,jitter_corners_px,masks_created,masks_killed,loop_ms
70946.520537,46,0.005,0.018,0.009,0.065,0.904,0.004,0.0,0.0,174.51,0,0,1,8,0.0,0.0,0,0,16.005
70946.558467,47,0.016,0.008,0.006,0.055,1.209,0.004,0.0,0.0,129.71,0,0,1,8,0.0,0.0,0,0,20.983
70946.618591,48,0.002,0.007,0.125,0.003,4.636,0.004,0.0,99.32,99.32,0,1,0,8,0.0,0.0,0,0,25.566
70946.644277,49,0.006,0.464,0.001,0.022,1.439,0.003,427.0,0.0,200.51,1,0,1,4,0.0,0.0,1,5,17.602
70946.695742,50,0.006,0.011,0.006,0.03,5.163,0.003,0.0,0.0,61.81,0,0,1,4,0.0,0.0,0,0,31.003
70946.726856,51,0.005,0.007,0.007,0.043,1.206,0.005,0.0,0.0,92.92,0,0,1,4,0.0,0.0,0,0,15.672
70946.753526,52,0.006,0.006,0.003,0.024,1.605,0.004,0.0,0.0,58.97,0,0,1,4,0.0,0.0,0,0,20.337
70946.804814,53,0.004,0.014,0.103,0.002,0.711,0.007,0.0,81.96,81.96,0,1,0,4,0.0,0.0,0,0,18.628
70946.871987,54,0.004,0.007,0.006,0.035,12.192,0.006,0.0,0.0,149.13,0,0,1,4,0.0,0.0,0,0,31.609
70946.903708,55,0.005,0.011,0.107,0.003,0.511,0.005,0.0,99.79,99.79,0,1,0,4,0.0,0.0,0,0,20.69
70946.947669,56,0.006,0.005,0.003,0.022,0.681,0.003,0.0,0.0,143.75,0,0,1,4,0.0,0.0,0,0,14.185
70947.003368,57,0.004,0.003,0.002,0.014,0.377,0.008,0.0,0.0,100.37,0,0,1,4,0.0,0.0,0,0,11.439
70947.035247,58,0.003,0.008,0.069,0.003,2.799,0.003,0.0,89.76,89.76,0,1,0,4,0.0,0.0,0,0,23.87
70947.069125,59,0.005,0.006,0.004,0.024,5.393,0.006,0.0,0.0,205.64,0,0,1,4,0.0,0.0,0,0,18.762
70947.099464,60,0.006,0.007,0.004,0.031,0.579,0.005,0.0,0.0,235.98,0,0,1,4,0.0,0.0,0,0,14.179
70947.140864,61,0.004,0.003,0.003,0.017,0.43,0.003,0.0,0.0,86.13,0,0,1,4,0.0,0.0,0,0,12.421
70947.179044,62,0.002,0.005,0.003,0.019,1.698,0.003,0.0,0.0,88.7,0,0,1,4,0.0,0.0,0,0,13.763
70947.211006,63,0.003,0.006,0.004,0.024,0.507,0.004,0.0,0.0,120.66,0,0,1,4,0.0,0.0,0,0,13.969
70947.270232,64,0.007,0.003,0.003,0.02,4.822,0.002,0.0,0.0,155.83,0,0,1,5,0.0,0.0,0,0,19.544
70947.289868,65,0.004,0.008,0.069,0.012,2.862,0.004,0.0,81.34,112.35,0,1,1,5,0.0,0.0,0,0,18.859
70947.308848,66,0.004,0.005,0.005,0.038,0.361,0.006,0.0,0.0,131.33,0,0,1,5,0.0,0.0,0,0,14.63
70947.354859,67,0.003,0.005,0.06,0.002,1.001,0.007,0.0,67.99,67.99,0,1,0,3,0.0,0.0,0,2,21.028
70947.389973,68,0.003,0.004,0.004,0.021,0.522,0.009,0.0,0.0,103.11,0,0,1,3,0.0,0.0,0,0,12.861
70947.431352,69,0.005,0.014,0.009,0.039,0.211,0.003,0.0,0.0,85.81,0,0,1,3,0.0,0.0,0,0,21.135
70947.464976,70,0.003,0.008,0.005,0.024,0.264,0.003,0.0,0.0,119.43,0,0,1,3,0.0,0.0,0,0,13.984
70947.492412,71,0.004,0.003,0.003,0.014,0.445,0.006,0.0,0.0,62.37,0,0,1,3,0.0,0.0,0,0,14.63
70947.547592,72,0.005,0.645,0.001,0.01,5.462,0.005,339.06,0.0,168.67,1,0,1,3,0.0,0.0,1,1,19.223
70947.578642,73,0.002,0.008,0.004,0.028,4.429,0.003,0.0,0.0,63.83,0,0,1,3,0.0,0.0,0,0,22.587
70947.60133,74,0.005,0.01,0.007,0.035,4.571,0.003,0.0,0.0,86.52,0,0,1,3,0.0,0.0,0,0,26.634
70947.628036,75,0.003,0.004,0.043,0.001,0.214,0.002,0.0,49.75,49.75,0,1,0,3,0.0,0.0,0,0,11.288
70947.660837,76,0.003,0.009,0.007,0.04,2.323,0.004,0.0,0.0,82.55,0,0,1,3,0.0,0.0,0,0,21.413
70947.713741,77,0.003,0.005,0.089,0.003,0.586,0.003,0.0,53.4,53.4,0,1,0,3,0.0,0.0,0,0,14.557
70947.749682,78,0.004,0.132,0.001,0.006,2.534,0.006,260.94,0.0,192.3,1,0,1,5,0.0,0.0,3,1,16.814
70947.766618,79,0.006,0.008,0.003,0.02,0.451,0.004,0.0,0.0,209.24,0,0,1,5,0.0,0.0,0,0,15.718
70947.811403,80,0.004,0.006,0.005,0.03,0.492,0.006,0.0,0.0,57.35,0,0,1,5,0.0,0.0,0,0,12.876
70947.830303,81,0.005,0.004,0.003,0.019,0.688,0.003,0.0,0.0,76.25,0,0,1,5,0.0,0.0,0,0,16.46
70947.884936,82,0.005,0.005,0.003,0.024,0.425,0.003,0.0,0.0,120.13,0,0,1,5,0.0,0.0,0,0,10.515
70947.926828,83,0.004,0.006,0.071,0.003,3.154,0.003,0.0,100.69,100.69,0,1,0,5,0.0,0.0,0,0,19.753
70947.946693,84,0.004,0.005,0.003,0.022,1.033,0.004,0.0,0.0,120.56,0,0,1,5,0.0,0.0,0,0,16.66
70947.977671,85,0.002,0.005,0.005,0.022,0.481,0.002,0.0,0.0,151.53,0,0,1,5,0.0,0.0,0,0,14.294
70948.010461,86,0.005,0.007,0.005,0.042,3.238,0.004,0.0,0.0,92.71,0,0,1,5,0.0,0.0,0,0,21.747
70948.03232,87,0.005,0.007,0.004,0.021,1.104,0.004,0.0,0.0,114.57,0,0,1,5,0.0,0.0,0,0,14.146
70948.067917,88,0.009,0.005,0.075,0.003,0.618,0.002,0.0,90.55,90.55,0,1,0,5,0.0,0.0,0,0,11.874
70948.104208,89,0.002,0.005,0.046,0.002,0.547,0.002,0.0,75.43,75.43,0,1,0,5,0.0,0.0,0,0,13.765
70948.134938,90,0.004,0.004,0.003,0.021,0.355,0.004,0.0,0.0,106.16,0,0,1,5,0.0,0.0,0,0,12.785
70948.167322,91,0.005,0.284,0.001,0.014,0.266,0.003,455.85,0.0,244.31,1,0,1,6,0.0,0.0,2,1,15.865
70948.21766,92,0.005,0.003,0.004,0.019,0.514,0.002,0.0,0.0,90.14,0,0,1,6,0.0,0.0,0,0,11.254
70948.246728,93,0.004,0.005,0.056,0.009,0.742,0.004,0.0,82.76,76.32,0,1,1,6,0.0,0.0,0,0,12.012
70948.287161,94,0.003,0.007,0.004,0.022,1.018,0.003,0.0,0.0,116.76,0,0,1,6,0.0,0.0,0,0,14.663
70948.316193,95,0.007,0.008,0.113,0.004,1.066,0.003,0.0,112.54,112.54,0,1,0,6,0.0,0.0,0,0,14.561
70948.330834,96,0.004,0.004,0.004,0.019,3.108,0.002,0.0,0.0,127.19,0,0,1,6,0.0,0.0,0,0,16.504
70948.347432,97,0.003,0.17,0.001,0.006,0.439,0.002,214.39,0.0,186.15,1,0,1,5,10.53,14.92,0,1,13.927
