timestamp,frame_id,uid,x,y,w,h,last_x,last_y,last_w,last_h,last_ts,last_slow_ts,last_source,state,frames_matched,frames_missing,confidence,hash_history,ttl,fast_miss_count,vx,vy,vw,vh,score,score_brut,fp_penalty,transition_density,s_td,density_raw,s_dens,cc_raw,s_cc,s_hreg,row_fill,tiers_active,vproj,s_vp,s_pf,bg_score
187097.938791,39,1,1280,440,118,22,1280,440,118,22,187097.4346631,187097.4346631,slow,MaskState.CONFIRMED,2,1,0.2649,4141413105794746641|18446479156084412177,499,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187097.958719,40,1,1280,440,118,22,1280,440,118,22,187097.934961,187097.4346631,fast,MaskState.CONFIRMED,3,0,1.0,4141413105794746641|18446479156084412177|18445410653918398215,500,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187097.996878,42,1,1280,440,118,22,1280,440,118,22,187097.953209,187097.4346631,fast,MaskState.CONFIRMED,4,0,1.0,4141413105794746641|18446479156084412177|18445410653918398215|18152122524278915843,500,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.024585,43,1,1280,440,118,22,1280,440,118,22,187097.953209,187097.4346631,fast,MaskState.CONFIRMED,4,1,1.0,4141413105794746641|18446479156084412177|18445410653918398215|18152122524278915843,499,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.048177,44,1,1280,440,118,22,1280,440,118,22,187098.0169429,187097.4346631,fast,MaskState.CONFIRMED,5,0,1.0,4141413105794746641|18446479156084412177|18445410653918398215|18152122524278915843|18440352900430627587,500,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.082161,45,1,1280,440,118,22,1280,440,118,22,187098.0362806,187097.4346631,fast,MaskState.CONFIRMED,6,0,1.0,18446479156084412177|18445410653918398215|18152122524278915843|18440352900430627587|18143113117410986755,500,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.103896,46,1,1280,440,118,22,1280,440,118,22,187098.0685012,187097.4346631,fast,MaskState.CONFIRMED,7,0,1.0,18445410653918398215|18152122524278915843|18440352900430627587|18143113117410986755|18008004029044558593,500,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.130772,47,1,1280,440,118,22,1280,440,118,22,187098.0959961,187097.4346631,fast,MaskState.CONFIRMED,8,0,1.0,18152122524278915843|18440352900430627587|18143113117410986755|18008004029044558593|18008004024749727631,500,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.157449,48,1,1280,440,118,22,1280,440,118,22,187098.0959961,187097.4346631,fast,MaskState.CONFIRMED,8,1,1.0,18152122524278915843|18440352900430627587|18143113117410986755|18008004029044558593|18008004024749727631,499,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.157449,48,5,1428,464,206,26,1428,464,206,26,187097.9941178,187097.9941178,slow,MaskState.CONFIRMED,2,0,0.667,27161688583141755|4629947185074417260,500,0,601.346,15.825,94.949,15.825,0.667,0.667,0.0,0.3006,0.5024,0.4527,0.9054,3,0.375,0.9896,1.0,3,0.0992,0.8083,0.3957,0.9214
187098.188121,49,1,1280,440,118,22,1280,440,118,22,187098.1476818,187097.4346631,fast,MaskState.CONFIRMED,9,0,1.0,18440352900430627587|18143113117410986755|18008004029044558593|18008004024749727631|18008004024732950479,500,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.188121,49,5,1464,464,211,26,1428,464,206,26,187097.9941178,187097.9941178,slow,MaskState.CONFIRMED,2,1,0.667,27161688583141755|4629947185074417260,499,0,601.346,15.825,94.949,15.825,0.667,0.667,0.0,0.3006,0.5024,0.4527,0.9054,3,0.375,0.9896,1.0,3,0.0992,0.8083,0.3957,0.9214
187098.214648,50,1,1280,440,118,22,1280,440,118,22,187098.1702128,187097.4346631,fast,MaskState.CONFIRMED,10,0,1.0,18143113117410986755|18008004029044558593|18008004024749727631|18008004024732950479|18297399883210366791,500,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.214648,50,5,1428,464,206,26,1428,464,206,26,187098.1702128,187097.9941178,fast,MaskState.CONFIRMED,3,0,1.0,27161688583141755|4629947185074417260|8097595756738123639,500,0,601.346,15.825,94.949,15.825,0.667,0.667,0.0,0.3006,0.5024,0.4527,0.9054,3,0.375,0.9896,1.0,3,0.0992,0.8083,0.3957,0.9214
187098.235944,51,1,1280,440,118,22,1280,440,118,22,187098.2012805,187097.4346631,fast,MaskState.CONFIRMED,11,0,1.0,18008004029044558593|18008004024749727631|18008004024732950479|18297399883210366791|18297399608333008719,500,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.235944,51,5,1428,464,206,26,1428,464,206,26,187098.2012805,187097.9941178,fast,MaskState.CONFIRMED,4,0,1.0,27161688583141755|4629947185074417260|8097595756738123639|8678560145310686079,500,0,601.346,15.825,94.949,15.825,0.667,0.667,0.0,0.3006,0.5024,0.4527,0.9054,3,0.375,0.9896,1.0,3,0.0992,0.8083,0.3957,0.9214
187098.304822,52,1,1280,440,118,22,1280,440,118,22,187098.2303559,187097.4346631,fast,MaskState.CONFIRMED,12,2,1.0,18008004024749727631|18008004024732950479|18297399883210366791|18297399608333008719|18297399608333008719,498,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.304822,52,5,1552,475,55,26,1514,472,102,26,187098.1476818,187098.1476818,slow,MaskState.CONFIRMED,6,1,0.1732,4629947185074417260|8097595756738123639|8678560145310686079|8678560145310686079|4639524419698878181,499,0,560.027,52.096,-677.242,0.0,0.1732,0.3232,0.15,0.3043,0.515,0.4932,0.9865,1,0.125,0.0,1.0,3,0.1121,0.679,0.3003,0.8557
187098.34036,54,1,1280,440,118,22,1280,440,118,22,187098.2860155,187097.4346631,fast,MaskState.CONFIRMED,13,0,1.0,18008004024732950479|18297399883210366791|18297399608333008719|18297399608333008719|18295279749914128327,500,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.34036,54,5,1428,464,206,26,1514,472,102,26,187098.2860155,187098.1476818,fast,MaskState.CONFIRMED,7,0,1.0,8097595756738123639|8678560145310686079|8678560145310686079|4639524419698878181|4051049700521741695,500,0,560.027,52.096,-677.242,0.0,0.1732,0.3232,0.15,0.3043,0.515,0.4932,0.9865,1,0.125,0.0,1.0,3,0.1121,0.679,0.3003,0.8557
187098.374565,55,1,1280,440,118,22,1280,440,118,22,187098.3391568,187097.4346631,fast,MaskState.CONFIRMED,14,1,1.0,18297399883210366791|18297399608333008719|18297399608333008719|18295279749914128327|18295279749914128327,499,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.374565,55,5,1532,473,79,26,1514,472,102,26,187098.3391568,187098.1476818,fast,MaskState.CONFIRMED,8,1,1.0,8678560145310686079|8678560145310686079|4639524419698878181|4051049700521741695|4051049700521741695,499,0,560.027,52.096,-677.242,0.0,0.1732,0.3232,0.15,0.3043,0.515,0.4932,0.9865,1,0.125,0.0,1.0,3,0.1121,0.679,0.3003,0.8557
187098.422978,56,1,1280,440,118,22,1280,440,118,22,187098.3666888,187097.4346631,fast,MaskState.CONFIRMED,15,1,1.0,18297399608333008719|18297399608333008719|18295279749914128327|18295279749914128327|18294857537465843655,499,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.422978,56,5,1580,506,102,22,1580,506,102,22,187098.2303559,187098.2303559,slow,MaskState.CONFIRMED,10,0,0.5418,4639524419698878181|4051049700521741695|4051049700521741695|4051054098538300797|16942310231047160,500,0,798.315,411.253,0.0,-48.383,0.5418,0.5418,0.0,0.1014,0.0,0.2518,0.5035,5,0.625,0.8347,0.8333,3,0.0649,0.8486,0.3983,0.846
187098.422978,56,10,1666,474,100,28,1666,474,100,28,187098.2303559,187098.2303559,slow,MaskState.CONFIRMED,2,0,0.1919,70630999022896190|18333845060768904704,500,0,628.976,24.191,-72.574,24.191,0.1919,0.3419,0.15,0.3551,0.6839,0.5351,0.9514,1,0.125,0.0,1.0,3,0.127,0.7085,0.3284,0.9009
187098.458736,57,1,1280,440,118,22,1280,440,118,22,187098.4128231,187097.4346631,fast,MaskState.CONFIRMED,16,0,1.0,18297399608333008719|18295279749914128327|18295279749914128327|18294857537465843655|17610380762851278671,500,0,0.0,0.0,0.0,0.0,0.2649,0.4149,0.15,0.4074,0.8582,0.3394,0.6788,1,0.125,0.0,1.0,3,0.0473,0.6733,0.6747,0.6986
187098.458736,57,5,1623,528,102,19,1580,506,102,22,187098.2303559,187098.2303559,slow,MaskState.CONFIRMED,10,1,0.5418,4639524419698878181|4051049700521741695|4051049700521741695|4051054098538300797|16942310231047160,499,0,798.315,411.253,0.0,-48.383,0.5418,0.5418,0.0,0.1014,0.0,0.2518,0.5035,5,0.625,0.8347,0.8333,3,0.0649,0.8486,0.3983,0.846
187098.458736,57,10,1428,464,206,26,1666,474,100,28,187098.4128231,187098.2303559,fast,MaskState.CONFIRMED,3,0,1.0,70630999022896190|18333845060768904704|6655896381049669126,500,0,628.976,24.191,-72.574,24.191,0.1919,0.3419,0.15,0.3551,0.6839,0.5351,0.9514,1,0.125,0.0,1.0,3,0.127,0.7085,0.3284,0.9009
