timestamp,frame_id,capture_wait_ms,slow_poll_ms,match_ms,fast_poll_ms,predict_ms,blur_ms,send_ms,detect_age_ms,fast_age_ms,mask_age_avg_ms,slow_updated,fast_updated,predicted,mask_count,loop_ms
189443.830776,1,0.006,0.034,0.001,0.008,0.042,0.034,0.043,0.0,0.0,0.0,0,0,0,0,9.003
189443.852008,2,0.282,0.006,0.0,0.004,0.01,0.01,0.004,0.0,0.0,0.0,0,0,0,0,17.937
189443.881832,3,0.316,0.01,0.001,0.004,0.014,0.005,0.003,0.0,0.0,0.0,0,0,0,0,14.017
189443.912228,4,0.965,0.025,0.001,0.007,0.024,0.005,0.003,0.0,0.0,0.0,0,0,0,0,15.085
189443.992843,5,0.385,0.01,0.001,0.006,0.021,0.007,0.004,0.0,0.0,0.0,0,0,0,0,11.844
189444.004812,6,0.549,0.01,0.0,0.004,0.01,0.008,0.004,0.0,0.0,0.0,0,0,0,0,10.675
189444.058226,7,0.547,0.005,0.001,0.003,0.006,0.004,0.002,0.0,0.0,0.0,0,0,0,0,11.09
189444.070329,8,0.629,0.007,0.001,0.003,0.009,0.003,0.001,0.0,0.0,0.0,0,0,0,0,9.891
189444.18293,9,1.335,0.021,0.002,0.007,0.018,0.007,0.003,0.0,0.0,0.0,0,0,0,0,19.579
189444.25515,10,1.728,0.008,0.0,0.004,0.012,0.003,0.002,0.0,0.0,0.0,0,0,0,0,15.6
189444.309361,11,0.354,0.022,0.001,0.008,0.025,0.007,0.003,0.0,0.0,0.0,0,0,0,0,26.24
189444.361326,12,0.582,0.012,0.001,0.007,0.015,0.01,0.004,0.0,0.0,0.0,0,0,0,0,20.048
189444.40482,13,0.357,0.033,0.0,0.014,0.033,0.01,0.005,0.0,0.0,0.0,0,0,0,0,17.332
189444.422378,14,0.606,0.015,0.001,0.005,0.02,0.005,0.002,0.0,0.0,0.0,0,0,0,0,16.112
189444.46036,15,0.706,0.015,0.001,0.005,0.094,0.013,0.006,0.0,0.0,0.0,0,0,1,0,14.252
189444.514735,16,0.462,0.03,0.001,0.009,0.098,0.011,0.004,0.0,0.0,0.0,0,0,1,0,17.63
189444.532567,17,0.667,0.048,0.002,0.017,0.209,0.011,0.004,0.0,0.0,0.0,0,0,1,0,12.572
189444.59019,18,0.303,0.014,0.001,0.006,0.067,0.005,0.003,0.0,0.0,0.0,0,0,1,0,11.421
189444.614201,19,0.536,0.012,0.001,0.006,0.074,0.009,0.004,0.0,0.0,0.0,0,0,1,0,13.872
189444.639722,20,0.373,0.008,0.0,0.005,0.062,0.005,0.002,0.0,0.0,0.0,0,0,1,0,12.14
189444.675102,21,0.604,0.014,0.001,0.006,0.074,0.005,0.002,0.0,0.0,0.0,0,0,1,0,12.708
189444.719185,22,0.335,0.942,3.382,0.006,0.083,0.009,0.004,307.65,0.0,0.0,1,0,1,0,22.954
189444.742274,23,0.548,0.012,0.0,0.004,0.063,0.004,0.002,0.0,0.0,0.0,0,0,1,0,11.622
189444.785166,24,0.283,0.01,0.001,0.005,0.065,0.005,0.002,0.0,0.0,0.0,0,0,1,0,9.885
189444.850695,25,0.551,0.067,0.002,0.02,0.248,0.012,0.007,0.0,0.0,0.0,0,0,1,0,15.502
189444.880289,26,0.39,0.018,0.001,0.006,0.086,0.005,0.002,0.0,0.0,0.0,0,0,1,0,13.633
189444.919486,27,0.273,0.009,0.001,0.006,0.071,0.004,0.003,0.0,0.0,0.0,0,0,1,0,12.942
189444.941752,28,0.358,0.007,0.001,0.007,0.06,0.005,0.002,0.0,0.0,0.0,0,0,1,0,11.52
189445.014142,29,0.325,0.013,0.001,0.005,0.079,0.005,0.003,0.0,0.0,0.0,0,0,1,0,17.275
189445.031475,30,0.355,0.016,0.0,0.004,0.066,0.007,0.003,0.0,0.0,0.0,0,0,1,0,12.128
189445.055213,31,0.705,0.016,0.0,0.009,0.129,0.007,0.004,0.0,0.0,0.0,0,0,1,0,13.622
189445.104206,32,0.892,0.014,0.0,0.005,0.062,0.013,0.005,0.0,0.0,0.0,0,0,1,0,12.333
189445.166424,33,0.408,0.013,0.001,0.007,0.071,0.012,0.002,0.0,0.0,0.0,0,0,1,0,15.286
189445.181914,34,0.944,0.015,0.001,0.008,0.089,0.007,0.002,0.0,0.0,0.0,0,0,1,0,11.287
189445.235609,35,0.886,0.013,0.001,0.006,0.078,0.011,0.005,0.0,0.0,0.0,0,0,1,0,12.543
189445.277063,36,0.907,0.011,0.001,0.004,0.066,0.008,0.003,0.0,0.0,0.0,0,0,1,0,13.257
189445.314188,37,2.291,0.016,0.001,0.005,0.086,0.01,0.002,0.0,0.0,0.0,0,0,1,0,15.772
189445.37446,38,0.606,0.008,0.001,0.005,0.057,0.006,0.002,0.0,0.0,0.0,0,0,1,0,12.835
189445.434222,39,0.595,0.009,0.0,0.004,0.063,0.01,0.005,0.0,0.0,0.0,0,0,1,0,15.723
189445.497194,40,0.697,0.004,0.0,0.002,0.04,0.003,0.002,0.0,0.0,0.0,0,0,1,0,10.865
189445.545632,41,1.049,0.004,0.001,0.002,0.04,0.007,0.003,0.0,0.0,0.0,0,0,1,0,11.745
189445.602206,43,0.851,0.011,0.001,0.005,0.116,9.51,0.004,0.0,0.0,30.48,0,0,1,1,30.029
